id,release_date,title,publisher,bit_memory,price
271,1991-07-12,メタルストーカー,フェイス, ,6980
272,1991-07-19,PC原人2,ハドソン, ,6500
273,1991-07-19,レーシング魂,アイレム, ,7000
274,1991-07-26,シャーロック・ホームズの探偵講座,ビクター音楽産業, ,7200
275,1991-07-26,大旋風カスタム,NECアベニュー, ,6800
276,1991-08-02,スクウィーク,ビクター音楽産業, ,6400
277,1991-08-06,BURAI 八玉の勇士伝説,リバーヒルソフト, ,7200
278,1991-08-09,はなたーかだか!?,タイトー, ,7200
279,1991-08-09,パワーリーグ4,ハドソン, ,6500
280,1991-08-23,1941 Counter Attack,ハドソン, ,9800
281,1991-08-23,ヴァリスIV,日本テレネット, ,6780
282,1991-08-30,聖竜伝説モンビット,ハドソン, ,6800
283,1991-08-30,パワーゲイト,パック・イン・ビデオ, ,6200
284,1991-08-30,ファイヤープロレスリング2nd BOUT,ヒューマン, ,6900
285,1991-09-20,ヒット・ジ・アイス,タイトー, ,6800
286,1991-09-20,ワールドジョッキー,ナムコ, ,5800
287,1991-09-27,ドラゴンEGG!,メサイヤ, ,6500
288,1991-09-27,ニュートピアII,ハドソン, ,7200
289,1991-09-27,森田将棋PC,NECアベニュー, ,7200
290,1991-10-04,メソポタミア,アトラス, ,6800
291,1991-10-11,クイズアベニューII,NECアベニュー, ,6000
292,1991-10-18,ワールドサーキット,ナムコ, ,5800
293,1991-10-25,天使の詩,日本テレネット, ,7400
294,1991-10-25,ドラゴンスレイヤー英雄伝説,ハドソン, ,6800
295,1991-10-25,バニラシンドローム,日本物産, ,7000
296,1991-10-25,ポピュラス ザ・プロミストランド,ハドソン, ,5800
297,1991-11-08,タイムクルーズII,フェイス, ,7200
298,1991-11-08,プリンス・オブ・ペルシャ,リバーヒルソフト, ,6800
299,1991-11-15,グラディウス,コナミ, ,6000
300,1991-11-15,マジカルチェイス,パルソフト, ,7800
301,1991-11-22,モンスタープロレス,アスク講談社, ,6800
302,1991-11-22,雷電,ハドソン, ,7200
303,1991-11-29,コリューン,ナグザット, ,6800
304,1991-11-29,将棋 初心者無用,ホームデータ, ,7300
305,1991-11-29,スーパーメタルクラッシャー,パック・イン・ビデオ, ,6200
306,1991-11-29,ファイティングラン,日本物産, ,6900
307,1991-11-29,レディファントム,日本テレネット, ,6980
308,1991-11-29,ロードオブウォーズ,システムソフト, ,6800
309,1991-12-06,沙羅曼蛇,コナミ, ,6000
310,1991-12-06,スーパーシュヴァルツシルト,工画堂スタジオ, ,7800
311,1991-12-06,ドラえもん のび太のドラビアンナイト,ハドソン, ,5800
312,1991-12-06,バブルガムクラッシュ,ナグザット, ,7200
313,1991-12-06,らんま1/2 とらわれの花嫁,メサイヤ, ,6800
314,1991-12-13,エフェラ アンド ジリオラ ジ・エンブレム フロム ダークネス,ブレイングレイ, ,7200
315,1991-12-13,ゲンジ通信あげだま,NECホームエレクトロニクス, ,5800
316,1991-12-13,スーパーCD-ROM2体験ソフト集,ハドソン, ,1000
317,1991-12-13,スパイラルウェーブ,メディアリング, ,6900
318,1991-12-13,太平記,インテック, ,6800
319,1991-12-13,にこにこぷん,NHKエンタープライズ, ,6500
320,1991-12-13,バリスティックス,ココナッツジャパン, ,6900
321,1991-12-13,秘宝伝説 クリスの冒険,パック・イン・ビデオ, ,6800
322,1991-12-20,R-TYPE Complete CD,アイレム, ,7500
323,1991-12-20,スーパー桃太郎電鉄II,ハドソン, ,6800
324,1991-12-20,なりトレ ザ・スゴロク'92,日本テレネット, ,4500
325,1991-12-20,熱血高校ドッジボール部 CDサッカー編,ナグザット, ,7200
326,1991-12-27,斬 陽炎の時代,タイトー, ,7500
327,1991-12-27,ドラゴンセイバー,ナムコ, ,6800
328,1992-01-04,冒険男爵ドン サン=ハート編,アイマックス, ,6800
