発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2018-01-25,クロスファンクション,Tiny Troopers Joint Ops XL（英語版）,-,,ETC,クロスファンクション,0,1,その他,その他
2018-01-25,レイニーフロッグ,コンバット! サーチ&レスキュー,-,,ETC,レイニーフロッグ,0,1,その他,その他
2018-01-25,ポケット,チキチキ BOXY RACERS,32,,RCG,ポケット,0,1,カジュアルレース,その他
2018-01-25,ディースリー・パブリッシャー,テニス,-,,ETC,ディースリー・パブリッシャー,0,1,その他,その他
2018-01-25,アークシステムワークス,ファンタジーヒーロー 〜アンサインドレガシー〜,-,,ETC,アークシステムワークス,0,1,その他,その他
2018-01-25,ディースリー・パブリッシャー,逆転吉原〜菊屋編〜,-,,ETC,ディースリー・パブリッシャー,0,1,その他,その他
2018-02-01,ベセスダ・ソフトワークス/ゼニマックス・アジア,The Elder Scrolls V: Skyrim,-,YES,ETC,ベセスダ・ソフトワークス/ゼニマックス・アジア,0,1,その他,その他
2018-02-01,フライハイワークス,ガンズゴア&カノーリ,33,,ASHT,フライハイワークス,0,1,アクションシューティング,その他
2018-02-01,スパイク・チュンソフト,クリプト・オブ・ネクロダンサー: Nintendo Switch Edition,-,,ETC,スパイク・チュンソフト,0,1,その他,その他
2018-02-01,PLAYISM,トルクル 物理調整版,-,,ETC,PLAYISM,0,1,その他,その他
2018-02-01,ワーナー ブラザース ジャパン,レゴ マーベル スーパー・ヒーローズ2 ザ・ゲーム,-,YES,ETC,ワーナー ブラザース ジャパン,0,1,その他,その他
2018-02-06,Raw Fury,Dandara,31,,AADV,Raw Fury,0,1,アクションアドベンチャー,その他
2018-02-08,Humble Bundle,Aegis Defenders,32,,ACT,Humble Bundle,0,1,アクション/タワーディフェンス,その他
2018-02-08,ピッキー,Cave Story+,-,YES,ETC,ピッキー,0,1,その他,その他
2018-02-08,DMM GAMES,がるメタる!,31,YES,ETC,DMM GAMES,0,1,メタルドラム×ジュヴナイルSFコミック,その他
2018-02-08,ウインライト,ジャンナビ麻雀オンライン,-,YES,ETC,ウインライト,0,1,その他,その他
2018-02-08,スパイシーソフト,大盛りチャリ走DX,-,,ETC,スパイシーソフト,0,1,その他,その他
2018-02-13,D-Pad Studio,Owlboy,31,,AADV,D-Pad Studio,0,1,アクションアドベンチャー,その他
2018-02-15,ディースリー・パブリッシャー,BILLIARD,-,,ETC,ディースリー・パブリッシャー,0,1,その他,その他
2018-02-15,ディースリー・パブリッシャー,THE 密室からの脱出 〜運命をつなぐ35の謎〜,-,YES,ETC,ディースリー・パブリッシャー,0,1,その他,その他
2018-02-15,スターサイン,Tower of Babel,-,,ETC,スターサイン,0,1,その他,その他
2018-02-15,クロスファンクション,Unbox: Newbie's Adventure,-,,ETC,クロスファンクション,0,1,その他,その他
2018-02-15,ゼロディブ,戦国エース for Nintendo Switch,-,,ETC,ゼロディブ,0,1,その他,その他
2018-02-16,エレクトロニック・アーツ,Fe（英語版）,32,,ADV,エレクトロニック・アーツ,0,1,パズルアドベンチャー,その他
