発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2015-01-29,加賀クリエイト,ひとつ飛ばし恋愛V,-,YES,ETC,加賀クリエイト,adv/95,1,その他,PS Vita
2015-01-29,みなとすてーしょん,クロガネ回姫譚-閃夜一夜-,30,YES,ADV,みなとすてーしょん,0,1,大和撫子活劇アドベンチャー,PS Vita
2015-01-29,角川ゲームス,デュラララ!! Relay,-,YES,ETC,角川ゲームス,0,1,その他,PS Vita
2015-01-29,アイディアファクトリーAksys Games,黒蝶のサイケデリカPsychedelica of the Black Butterfly,-,YES,ETC,アイディアファクトリーAksys Games,0,1,その他,PS Vita
2015-02-11,プロトタイプ,学園ヘヴン BOY'S LOVE SCRUMBLE!,-,YES,ETC,プロトタイプ,oto/27,1,その他,PS Vita
2015-02-11,スパイク・チュンソフト,憂世ノ浪士,-,YES,ETC,スパイク・チュンソフト,0,1,その他,PS Vita
2015-02-11,コーエーテクモゲームス,戦国無双4-IISamurai Warriors 4-II,-,YES,ETC,コーエーテクモゲームス,0,1,その他,PS Vita
2015-02-12,加賀クリエイト,大図書館の羊飼い ‐Library Party‐,-,YES,ETC,加賀クリエイト,0,1,その他,PS Vita
2015-02-12,アイディアファクトリー,百華夜光,30,YES,ADV,アイディアファクトリー,0,1,女性向け恋愛アドベンチャー,PS Vita
2015-02-19,バンダイナムコゲームス,GOD EATER 2 RAGE BURST,-,YES,ETC,バンダイナムコゲームス,0,1,その他,PS Vita
2015-02-19,"GHI Media, LLCDevolver Digital",LUFTRAUSERS,-,,ETC,"GHI Media, LLCDevolver Digital",0,1,その他,PS Vita
2015-02-19,ディースリー・パブリッシャー,男遊郭,-,YES,ETC,ディースリー・パブリッシャー,oto/29,1,その他,PS Vita
2015-02-19,アイディアファクトリー,薄桜鬼 随想録 面影げ花,-,YES,ETC,アイディアファクトリー,oto/30,1,その他,PS Vita
2015-02-19,日本一ソフトウェア,風雨来記3,-,YES,ETC,日本一ソフトウェア,0,1,その他,PS Vita
2015-02-24,スクウェア・エニックス,デッドマンズ・クルス,-,,ETC,スクウェア・エニックス,0,1,その他,PS Vita
2015-02-26,アイディアファクトリー,DIABOLIK LOVERS DARK FATE,-,YES,ETC,アイディアファクトリー,0,1,その他,PS Vita
