発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2024-03-26,"GungHo Online Entertainment America, Inc.",グランディア HDコレクション,2,,その他,"GungHo Online Entertainment America, Inc.",0,1,Xbox One
2024-03-27,GrahamOfLegend,Super Space Club,2,,その他,GrahamOfLegend,0,1,Xbox One
2024-03-29,Dolores Entertainment,7Days Heroes,2,,その他,Dolores Entertainment,0,1,Xbox One
2024-03-29,Glowstick Entertainment,House,2,,その他,Glowstick Entertainment,0,1,Xbox One
2024-03-29,アンナプルナ・インタラクティブ,Open Roads,2,,その他,アンナプルナ・インタラクティブ,0,1,Xbox One
2024-03-29,Noble Steed Games,The Master's Pupil,2,,その他,Noble Steed Games,0,1,Xbox One
2024-04-03,Eastasiasoft Limited,Flightpath: Adventures in Venaris,2,,その他,Eastasiasoft Limited,0,1,Xbox One
2024-04-03,Sometimes You,Knowledge Keeper,2,,その他,Sometimes You,0,1,Xbox One
2024-04-04,Art Games Studio S.A.,Alchemist: The Potion Monger,2,,その他,Art Games Studio S.A.,0,1,Xbox One
2024-04-04,"XSEED Games / Marvelous USA, Inc.",Freedom Planet 2,2,,その他,"XSEED Games / Marvelous USA, Inc.",0,1,Xbox One
2024-04-04,Hugecalf Studios,Turbo Golf Racing,2,,その他,Hugecalf Studios,0,1,Xbox One
2024-04-04,カイロソフト,合戦!!にんじゃ村,2,,その他,カイロソフト,0,1,Xbox One
2024-04-04,カイロソフト,大盛グルメ食堂,2,,その他,カイロソフト,0,1,Xbox One
2024-04-09,Whitethorn Games,Botany Manor,2,,その他,Whitethorn Games,0,1,Xbox One
2024-04-11,Tiny Warrior Games,Ato,2,,その他,Tiny Warrior Games,0,1,Xbox One
2024-04-12,BUCK,Let's! Revolution!,2,,その他,BUCK,0,1,Xbox One
2024-04-12,ラタライカゲームス,Outer Terror,2,,その他,ラタライカゲームス,0,1,Xbox One
2024-04-12,3D Realms Entertainment ApS,The Kindeman Remedy,2,,その他,3D Realms Entertainment ApS,0,1,Xbox One
2024-04-12,ケムコ,グロリアスセイバー,2,,その他,ケムコ,0,1,Xbox One
2024-04-15,HandyGames,PERISH,2,,その他,HandyGames,0,1,Xbox One
2024-04-18,PQube Limited,ArcRunner,2,,その他,PQube Limited,0,1,Xbox One
2024-04-18,カイロソフト,アパレル洋品店,2,,その他,カイロソフト,0,1,Xbox One
2024-04-18,カイロソフト,サッカークラブ物語,2,,その他,カイロソフト,0,1,Xbox One
2024-04-22,クリプトン・フューチャー・メディア,初音ミク 不思議なホシと願いのかけら,2,,その他,クリプトン・フューチャー・メディア,0,1,Xbox One
2024-04-24,505 Games,百英雄伝,2,,その他,505 Games,0,1,Xbox One
2024-04-26,ケムコ,妄想凶ザナトリウム,2,,その他,ケムコ,0,1,Xbox One
2024-05-03,ラタライカゲームス,Cyber Citizen Shockman 3: The princess from another world （改造町人シュビビンマン3 -異界のプリンセス-）,2,,その他,ラタライカゲームス,0,1,Xbox One
2024-05-03,Untold Tales,"Ready, Steady, Ship!（急げ！運べ！積み込め！）",2,,その他,Untold Tales,0,1,Xbox One
2024-05-07,DESTROYER DOGGO,Brocula,2,,その他,DESTROYER DOGGO,0,1,Xbox One
2024-05-08,Silesia Games Sp. z o.o.,15in1 Solitaire,2,,その他,Silesia Games Sp. z o.o.,0,1,Xbox One
2024-05-09,ININ GAMES,Rainbow Cotton（レインボーコットン）,2,,その他,ININ GAMES,0,1,Xbox One
2024-05-10,Double Dagger Studio,"Little Kitty, Big City",2,,その他,Double Dagger Studio,0,1,Xbox One
2024-05-15,Sometimes You,Awesome Pea 3,2,,その他,Sometimes You,0,1,Xbox One
2024-05-15,"Thekla, Inc.","Braid, Anniversary Edition（Braid: アニバーサリーエディション）",2,,その他,"Thekla, Inc.",0,1,Xbox One
2024-05-15,Eastasiasoft Limited,Electronics Puzzle Lab,2,,その他,Eastasiasoft Limited,0,1,Xbox One
2024-05-15,Silesia Games,Please Fix The Road,2,,その他,Silesia Games,0,1,Xbox One
2024-05-15,Two Cakes Studio,Time Trap: Hidden Objects Remastered（タイムトラップ: アイテム探しゲーム リマスター）,2,,その他,Two Cakes Studio,0,1,Xbox One
2024-05-16,カイロソフト,こだわりラーメン館,2,,その他,カイロソフト,0,1,Xbox One
2024-05-16,カイロソフト,アニメスタジオ物語,2,,その他,カイロソフト,0,1,Xbox One
2024-05-16,コーラス・ワールドワイド合同会社,リードオンリーメモリーズ：ニューロダイバー,2,,その他,コーラス・ワールドワイド合同会社,0,1,Xbox One
2024-05-17,ラタライカゲームス,FoxyRush,2,,その他,ラタライカゲームス,0,1,Xbox One
2024-05-17,Merge Games,Morbid: The Lords of Ire,2,,その他,Merge Games,0,1,Xbox One
2024-05-17,NintaiStudios,Spellcats: Auto Card Tactics,2,,その他,NintaiStudios,0,1,Xbox One
2024-05-17,Outright Games Limited.,マイリトルポニー：ゼファー・ハイツの謎,2,,その他,Outright Games Limited.,0,1,Xbox One
2024-05-21,Newfangled Games,Paper Trail（ペーパートレイル）,2,,その他,Newfangled Games,0,1,Xbox One
2024-05-22,Idea Factory International,Neptunia: Sisters VS Sisters(超次元ゲイム ネプテューヌ Sisters vs Sisters),2,,その他,Idea Factory International,0,1,Xbox One
2024-05-22,Prime Matter,System Shock（システムショック）,2,,その他,Prime Matter,0,1,Xbox One
2024-05-22,Silesia Games,Ultra Foodmess 2,2,,その他,Silesia Games,0,1,Xbox One
2024-05-24,OverGamez,Hand in Hand,2,,その他,OverGamez,0,1,Xbox One
2024-05-24,Puppet Combo,The Glass Staircase,2,,その他,Puppet Combo,0,1,Xbox One
2024-05-24,バンダイナムコエンターテインメント,ドラゴンボール ゼノバース2,2,,その他,バンダイナムコエンターテインメント,0,1,Xbox One
2024-05-24,インティ・クリエイツ,ロロパズミクス,2,,その他,インティ・クリエイツ,0,1,Xbox One
2024-05-27,Saber Interactive,Redout 2,2,,その他,Saber Interactive,0,1,Xbox One
